DESCRIPTIONS,severity,severity_score
Record is not showing in material tab and print document  job work Sales invoice no- JWI/24-25/458  Delivery note no- DNSO/24-25/434  ,,50
In view event calculation template name tax box show in blank same as T&C name tax box  ,,50
Record is not showing in material tab and print document job work Sales invoice no- JWI/24-25/460 Delivery note no- DNSO/24-25/436,,50
Please add this functionality in tax type.  Please find the attached sheet ,,35
Form Name: HSN MASTER ACCOUNT  change in Form in Normal and Exceptional case to validate if i add Same GST Category data then avoid to add ,,80
MAINTENANCE ----> ASSET MASTER + ADMIN DASHBOARD + USER DASHBOARD  Adding aseet id  in backend    Asset code+ Asset name ki jagha asset id ko save krwana  hai table me or ushi se data fetch krna hai.,,35
4 Decimal rate reflected in Supplier Order  Please find the attached bug sheet,,50
New requirement- Document print create for  Material return to Supplier.  Bugs-  1. Rate showing zero in print please check and resolved,,50
"Kindly check the mentioned Email ID in supplier master.  Which supplier contains this email I'd.   gewdelhi@gmail.com, gew_bp@yahoo.co.in  As per my knowledge we didn't used this email ID in any supplier.",,50
"ADD ITEM DESCRIPTION  TESTER:-VIPIN , LAIMA",,35
"SKU-332570 Name - S.R. 20 MNCR Dia-5 25 MM (Diamond), Job Work Inward MRN-20186553,  Stock is not showing in Batch Wise Stock 1 Pls Solve as soon as possible Tester - Vipin, Laima",,50
"Inward Note - IN/24-25/2676   data is not showing on edit and approval time pls resolved as soon as possible Tester - Vipin, Laima",,50
ADD ITEM DESCRIPTION  URL:-https://docs.google.com/spreadsheets/d/1GjFyBF1L84E7Nc1vvhoEK9jJaHz1miix/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true    TESTER:VIPIN LAIMA  ,,35
"ADD TO DESCRIPTION  URL:  https://docs.google.com/spreadsheets/d/1liCOeIGf_M_RMTnWTxaONn3mVdjMB_6P/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true    TESTER : VIPIN , LAIMA",,35
"APM SCHEDULE IN SETUP  TO WHEN CHECK  LIST PLAN TO AUTO SCHEDULE    TESTER : LAIMA , VIPIN",,50
"SFCN/24-25/135, E invoice generate karne par error aara hai (PFA for Exception) in FCN Address showing blank Tester - Vipin, Laima",,80
"CHECK  LIST PLAN  TROUGH RESPONSE IN VALIDATE STD.RESPONSE & RESPONSE, AND CHANGE THE PLAN ASSIGN PERSON    TESTER:- LAIMA  ,VIPIN",,35
"Please Complete Work as Per System.  https://docs.google.com/spreadsheets/d/1ghJDXRXpWPfpvA7RU7y0ARSNo6n_53sp/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true  TESTER- LAIMA, VIPIN",,50
Please Complete Work as Per System.  While I am checking  Attendance report working hours  Prakash’s (ST075) attendance is not showing. but then check Attendance Report its showing . For the date of 31/12/2025,,50
Please Provide whole training about Attendance report work flow.,,50
Please Kindly plan the checklist to employees as per given excel. From Date 01-01-2026 - To 31-03-2026 If there is any query kindly let me know. please Work as Per System,,50
Please CAA jackson and Company bills From Inward note to Purchase Voucher (Auto) SBMRN/25-26/2575    inward no-201827985 inspection no-201818118 mrn no-201818002     SBMRN NO/25-26/2116  inward no-201827372  inspection no-201817665  MRN no-201817558,,50
Please Complete Work as Per System. Item Bom Dashboard showing 2 line of each item bom ID pls solve this and 2. consumption item qty getting round off by after save pls check and resolve BOM ID - 2025361 severity score - 90,90.0,50
"Please Complete Work as Per System. In the Item BOM Amendment (MFG), after entering the BOM ID in the pop-up, when we click Add, a pop-up message appears saying: “Please Approve record first. BOM ID -  2025361 ",,35
Please Complete Work as Per System.  Please give purchase FMS store procedure query for Paras.,,50
"In Sales Invoice against delivery , Please give option to change delivery address at the time of Invoice create.",,35
Please provide training of item bom and item bom ambendment,,50
Please validate Revision Date in Notification Template and also Red * is showing in mandatory field   ,,50
Only bundle no is showing in Packaging list.  Please find the attached sheet,,50
Duplicate row is showing in MRN (Job work Inward)  MRN no- 20186012,,50
SL trail balance Report Name---->  Opening balance is showing in SL Trail Balance Report. While Opening not given in Sub ledger Opening Form in Current Year (FY24-25),,50
"After Create Ticket Attachment file not uploaded functionality, please create functionality.  Problems  1. After Working in TKT Admin then search panel's filter replaces.   2. Data is  showing in date wise",,50
Add Two Accordian and change/validate as disscuss,,35
In Dashboard using any filter...> edit functionality is not working.  Loader showing in edit time,,90
" Job work case-->Wrong record is showing in supplier bill..> bill qty not picking correctly and second row  is also  not packing rec qty, short qty and bill qty  correctly.  MRN no- 201812137  Supplier name- Anubhav Auto  ",,50
"Subject: Purchase Module - Data Response Check Issue  In Purchase Module, you  have to encountered an issue with the data response verification. It seems that the data response check is not functioning correctly, you need to investigate and resolve this issue",,50
sales book me debit credit ke total me jisme difference hai unko red mark karna hai.,,50
Requirement - Save Update and Approve with 9 Combination of Stock            Stock Impact on Approve,,35
Requirement - Save Update and Approve with 9 Combination of Stock            Stock Impact on Approve and EInvoice Generate.,,35
Requirement - I have Resolved the Bug of the DayBookInventory Report . Please Check this Report    And Add DeliveryChallanFor JobWork Data Show on Report,,35
Material Receipt Note (MRN) --     Set configuration from Item Master . Batch Create  on Approve and Asset Master create on Approve and PopUp on Material row in MRN when Sgroup is Fixed Asset of Items then Qty Break in PopUp  and Batch create in Popup,,50
Please create Inward Note Print,,50
In Test Evaluation Show View Icon In Dashboard and When View Icon is Click than data show,,50
a).Employee Master : Check Employee Popup in Search Panel All Data show in Employee Popup(Create/Approve/Cancel).b).Additional Employee: Check Employee Popup only Approve Data show and Can't Create Duplicate Employee.,,35
Please Check Any Report and Form in Functional Server. wherever SGroup Popup has been Used. Data will Come Automatically in S Group Popup,,50
Please add pop-up loader in all places,,35
Form Name : NFS Setup Form  Changes in NFS Setup Form Related to opening column added cheakbox type in Selection Tab  also changes in Account Group popUp and GL popUp for new column (Opening Applicable) added in Nature of Group Form,,35
Impact of GST GL for Purchase changes in Taxtype form in Purchase Cycle  Create Ticket for This impact in Purchase Cycle,,35
New Form Previous Year Balance Form,,50
Supplier Order Form (Data Save Without Address ),,35
Supplier  bill Loader problem,,50
training Planner Form this changes are there and in case of Employee,,35
new Requirement--Party Wise Detail Report ,,50
Material Return To Supplier Print,,50
User Profile    Open PopUp on clicking on UserName&Designation    Requirement  a) when I Login as a Employee with UserName and Password then Employee data will shown.  b) when I Login as a Customer with UserName and Password then Customer data will shown.  c) when I Login as a Supplier with UserName and Password then Supplier data will shown,,50
Form Name:Widget Permission  change in Form on dashboard to retrive data by Jqgrid,,35
Form Name: Store Issue  i did change in the Material tab in Receive Store Column that on creating 2nd row of Receive Store's then 1st row Receive Store's data will use,,35
Form Name:Nature of Group    please change in Form to add Checkbox Opening Balance,,35
Process Master (Add Column PROCESS TYPE) and add AutoComplete,,35
Control Plan  new form(New Requirement),,50
"Item Gate In Out    Add Tab Attachment ,UDF and  Challan Detail and Add Column  Entry Type and Gate No",,35
Purchase Voucher Auto--CAA Functionality  not impacted,,50
When Selected all filler functionality in MRP data is not showing only loader is showing,,50
Data not showing in My Dashboard ,,50
INWARD NOTE SAVED BUT NOT SHOWING GE & PO DETAILS AFTER SAVING .,,50
"BPV,BRV,CPV,CRV, in vouchers ke header me gl select karne ke bad fir se GL ka pop up on krte hai aur close kar dete hai to sirf GL remove ho jata hia aur bina GL ke entry save bhi ho jati hai please resolve this problem",,50
Please remove one duplicate uom conversion of SKU- 30404 in Item master,,50
Wrong Calculate time in From time and end time  in Create ticket. please fid the attached sheet,,50
Backup form is not working,,90
"Page URL improvement  For Every Module  master ,report and Format",,50
In Default Controller   Remove Captcha from login time and Relocate Login Button in center,,50
The GL of TDS should be Credit side Always in case of Supplier Bill and The GL of TDS should be Debit side always in case of Material return ,,50
Form Name Material Return to Supplier   Bug in direct case material not come  Data not Approve ,,50
Duplicate Row is showing at the time of create MRN(Job Work inward case),,50
Create Exception list of all the clients in single form which is access from admin penal,,80
Please do Latest  data functionality enable in Manual Know off,,50
Sale Return Invoice me approve hone ke baad view karne par details show nahi horhi.  Sale Return Invoice ID-222  against Sale Invoice- SI/24-25/69 ,,50
"please create three filter (Ticket No, From Date, To Date) in User Dashboard and Admin Dashboard. In User Dashboard data is showing accounting to the user and by default fy data is showing in from date and current date is showing in To date",,50
"If Customer is logging in supplier portal and create supplier quotation data automatic fill related to customer. like supplier name ,address ,calculation template, T&C etc",,35
Copy from Fixed Asset Module ..>Form Name- ASSET MASTER(Remove 6 filed form header except Asset code Asset Description) Develop New Form Name- Asset Depreciation Method.  ,,50
Data is not showing using from date 8/05/24 and  to date 15/05/24 in Job work Invoice Report,,50
Item Rate not reflected in Sales Return.  Sales Invoice no- JWI/23-24/3402  Delivery Note- DNSO/23-24/2051  Item code- 81694 ,,50
A message coming (Data Not Save) from after Sumit record.. > data should not reset,,50
Duplicate Items is showing in MRN.  Inward Note- IN/24-25/359  MRN- 201812337,,50
Job worker order's Record is not showing in Delivery Challan for job worker.  Supplier order no- JWO/2425/58  Supplier Name- Bharat Auto Industries,,50
Closing amount is not matched General Ledger report to GL Trail  HIERARCHY   GL code- L0043,,50
PLEASE UPDATE THE OPENING BALANCEAS ON 01-04-2024 AS PER DETAILS ATTACHED,,35
MRN NO. 201812057  NOT REFLECTING IN SUPPLIER BILL.                                        ,,50
MATERIAL RETURN TO SUPPLIER ME MATERIAL TAB ME TAXABLE AMOUNT 11 DECIMALS TAK AARAH HAI ,,50
OUT STATUS SHOW NAHI HORHA HAI ATTENDANCE APPROVAL AND ATTENDANCE REPORT ME.  EMPLOYEE CODE- 71640  Rampukar,,50
Course Master Data not submit  and also data not show  ,,50
DELIVERY NOTE ME MATERIAL TAB ME LOADER CHAL RHA HAI.,,50
"Problem Showing In Assign Permission.  When give assign permission..> Select Accounts Module And Department- Admin and Designation- Auditor  Employee Name- Priyanka   One Message is coming ""Record has been canceled already""   ",,50
" I am sending you the details of three purchase invoices whose impact is going in CGST input and SGST input, which is wrong, its impact should go in IGST input. Please correct it and update. please find the attached sheet",,35
Get Taxable Value from Supplier Quotation in RFQ,,50
"Please change name of Vendor wise item mapping to Supplier Item Relation form.   New changes- 1.At contact person in material line as per selected supplier . 2. Applicable form and Applicable To. 3. Level-get data from master.  In add item Pop-up..> HSN code, Details, Images",,35
"Remove Supplier, Add new Tab..> Display all contact person as per supplier item relation form",,35
UNDER HRMS MODULE ATTENDANCE REPORT ME  16/05/2024 DATE KO EMPLOYEE CODE:71799 NAME:(LalanKumar) DOUBLE ENTRY REFLECT KAR RHA HAI..  ,,50
"If Selected from date 01/04/2024 and search record the only two(01/04/24,02/04/24) Days's data is showing in report.",,50
PREVIOUS YEAR CLOSING BALANCE REFLECTING WRONG IN NFS REPORT.,,50
PLS ENABLE THE TDS FLAG IN ATTACHED TDS SHEET.,,50
DUPLICACY OF BUNDLE NO. IN DIFFERENTS ITEMS SHOWING.,,50
"In asset master > Supplier    Change the PO NO = Mrn NO, Po date = MRN Date, add a field of MRN QTY.    Supplier Address 1 and Address 2 and contact number should be come from Supplier Master and ID should save their, so we don't have to change in asset master.",,35
IN CALCULATION TEMPLATE (TDS1%) PLS CHANGE ROUNDOFF(E) TO ROUNDOFF(N) AND REMOVE THE FORMULA S4.  AND ALSO IN (TDS2% ) pls change the formula for amount after GST which is  (S1-S2+S3),,35
"In ERP Material Receipt Note no.-120 .Please Change All details we have given in SGST Tax Percent and tax amount, Please Put them in IGST tax percent and IGST tax amount.",,35
"Please find the attached sheet of Ticket Report..> data proper not showing in excel , data interchange to one level to another level. and time calculation is not correctly please resolved all reports and format ",,35
When We are creating Sale return invoice and we are putting Sale inoice id-1958 then sale Return items not showing. We are facing issue to Create Sale return invoice. Kindly Solve this issue.,,50
"Please find the attached file,  change in Reports as discussed.  Reports Name- 1. Vendor ageing outstanding invoice   wise  2. Vendor ageing outstanding 3. Customer ageing outstanding 4. Customer ageing outstanding invoice wise",,35
